User_ID,Age,Gender,Daily_Usage_Hours,Weekly_Usage_Hours,Platform,Engagement_Level,Addiction_Score,Usage_Type,Device_Used,Content_Type,Posts_Per_Week,Likes_Per_Week,Shares_Per_Week,Comments_Per_Week,Mental_Health_Impact,Geographic_Region,Account_Age_Years,Followers_Count,Followed_Accounts,Time_of_Day,Internet_Type,Battery_Usage_Per_Day,Sleep_Hours
1,50,Female,8.52,21.13,Facebook,Medium,1.1,Active,Smartphone,Video,29,86,68,193,Negative,North America,4,7098,772,Morning,WiFi,14.83,8.8
2,56,Female,9.26,64.37,Snapchat,Medium,6.4,Passive,PC,Mixed,23,13,59,43,Neutral,North America,3,6289,373,Morning,Mobile Data,16.48,3.6
3,25,Other,5.84,18.28,Twitter,High,9.3,Active,PC,Image,25,351,39,163,Positive,Europe,6,59,974,Afternoon,Broadband,82.6,6.3
4,21,Other,9.15,49.01,Facebook,Medium,6.7,Active,Smartphone,Text,21,404,42,27,Negative,South America,10,6903,1469,Afternoon,WiFi,80.04,7.3
5,22,Male,7.08,16.95,TikTok,Medium,9.0,Active,Tablet,Mixed,5,63,39,108,Neutral,Europe,14,766,772,Morning,Broadband,51.61,3.7
6,24,Male,7.9,59.49,TikTok,High,6.4,Active,PC,Video,16,212,48,51,Negative,North America,4,2433,1096,Evening,Mobile Data,29.42,6.2
7,18,Female,7.1,15.61,Instagram,Low,7.8,Passive,Tablet,Video,16,102,42,69,Positive,Asia,12,4287,1308,Afternoon,Broadband,99.97,5.5
8,28,Other,4.22,55.0,Facebook,Medium,5.3,Passive,PC,Text,0,436,24,3,Neutral,Africa,4,2654,650,Afternoon,Broadband,69.81,7.5
9,13,Male,6.52,4.54,Twitter,Medium,1.7,Active,Tablet,Text,8,131,26,19,Negative,Asia,3,5678,1350,Night,Broadband,87.69,5.0
10,29,Male,9.34,23.69,Twitter,Medium,7.6,Active,Smartphone,Mixed,13,408,66,149,Negative,Europe,11,95,1866,Morning,Mobile Data,81.23,5.4
11,14,Female,5.43,52.3,Facebook,High,6.4,Passive,PC,Image,11,60,43,135,Neutral,South America,9,6801,696,Night,Mobile Data,75.17,8.7
12,25,Other,2.18,22.25,Twitter,Medium,2.3,Active,Tablet,Image,12,113,16,91,Positive,Asia,6,5508,1818,Morning,Mobile Data,10.58,9.3
13,20,Female,3.41,9.69,TikTok,High,7.0,Active,Tablet,Video,23,234,53,110,Neutral,Africa,8,5728,1621,Morning,Broadband,87.29,6.6
14,58,Female,8.24,43.92,Twitter,Medium,6.0,Passive,PC,Text,4,452,96,133,Negative,North America,13,4819,848,Afternoon,WiFi,54.35,7.6
15,19,Female,5.71,60.45,TikTok,Medium,4.5,Active,Tablet,Video,3,425,55,52,Negative,South America,11,1218,1780,Afternoon,Mobile Data,66.67,4.6
16,38,Male,4.81,14.28,Snapchat,Medium,4.6,Active,PC,Text,5,493,38,72,Negative,North America,14,8470,775,Morning,WiFi,50.18,8.1
17,63,Other,5.61,3.77,Twitter,High,3.2,Passive,PC,Image,24,497,15,188,Neutral,Europe,7,7276,137,Evening,WiFi,28.56,8.2
18,33,Other,4.01,55.67,Twitter,High,4.8,Active,PC,Text,8,448,53,198,Neutral,North America,14,9100,1159,Morning,WiFi,15.96,5.5
19,50,Other,2.5,28.66,Instagram,Low,7.0,Active,Smartphone,Mixed,21,492,42,77,Neutral,Europe,7,4100,92,Night,Broadband,85.07,8.7
20,31,Male,0.53,29.46,Twitter,Medium,5.0,Active,Tablet,Text,2,118,63,66,Positive,North America,4,8179,175,Afternoon,Broadband,26.67,8.7
21,33,Other,0.92,13.38,Snapchat,Low,5.6,Passive,Smartphone,Mixed,19,338,2,175,Neutral,North America,12,4087,227,Afternoon,Mobile Data,99.6,7.2
22,24,Other,2.41,47.47,TikTok,High,7.3,Passive,Smartphone,Mixed,16,309,37,196,Negative,Africa,11,5547,864,Afternoon,Mobile Data,56.81,7.5
23,55,Other,0.79,60.26,Instagram,Medium,4.1,Passive,PC,Image,5,23,40,70,Negative,North America,9,2100,820,Morning,WiFi,21.75,6.3
24,41,Other,4.97,59.41,Facebook,Medium,2.4,Active,PC,Video,21,248,80,139,Negative,North America,2,6195,1792,Morning,Mobile Data,47.12,6.3
25,42,Other,9.52,52.47,Snapchat,Low,3.5,Passive,Tablet,Image,0,138,84,47,Positive,North America,6,9224,937,Afternoon,Broadband,71.83,8.1
26,27,Other,6.62,17.02,Twitter,Low,5.7,Active,Smartphone,Image,13,374,73,49,Negative,Europe,8,6297,1252,Morning,Broadband,85.07,7.6
27,63,Other,0.77,62.86,Facebook,High,9.0,Active,Smartphone,Text,16,5,64,154,Negative,Europe,10,9646,930,Evening,Mobile Data,13.97,6.1
28,17,Female,7.87,24.11,Snapchat,Medium,8.1,Active,Tablet,Mixed,15,347,56,44,Positive,Asia,7,6952,254,Afternoon,WiFi,17.3,10.0
29,36,Other,5.28,6.9,TikTok,Low,10.0,Passive,Tablet,Video,22,387,13,161,Neutral,Africa,3,1844,1153,Night,Mobile Data,28.94,3.4
30,36,Male,8.07,59.51,Facebook,Medium,7.0,Active,Tablet,Text,16,100,75,17,Neutral,North America,9,9632,1975,Morning,WiFi,87.16,8.1
31,54,Other,5.31,49.09,Twitter,High,2.8,Passive,Smartphone,Text,21,360,59,133,Neutral,Europe,12,6526,1658,Evening,WiFi,67.15,3.3
32,62,Other,6.43,29.42,TikTok,High,3.2,Active,PC,Mixed,14,394,14,116,Positive,Europe,3,6942,1482,Afternoon,Broadband,12.97,4.7
33,43,Female,2.99,29.52,Twitter,Low,4.7,Passive,Tablet,Text,12,488,91,33,Positive,Africa,1,1990,78,Afternoon,Broadband,92.47,4.6
34,45,Male,4.75,38.91,Snapchat,Low,1.6,Active,PC,Image,23,252,60,114,Positive,Europe,4,782,308,Evening,Broadband,86.52,6.8
35,35,Other,0.62,64.76,Snapchat,Medium,4.3,Passive,Smartphone,Video,6,297,83,93,Negative,South America,7,8253,1029,Evening,Broadband,47.77,7.6
36,26,Male,4.13,53.08,Snapchat,High,2.1,Active,PC,Video,0,316,20,94,Negative,Asia,8,3120,1368,Morning,Mobile Data,43.13,4.4
37,54,Male,6.48,46.74,Twitter,Low,3.1,Active,Smartphone,Video,16,179,32,192,Neutral,Europe,13,4135,56,Afternoon,Mobile Data,10.96,5.1
38,22,Other,9.37,48.3,Twitter,Medium,7.1,Active,Tablet,Image,5,136,22,130,Neutral,Asia,12,999,728,Morning,WiFi,85.12,5.3
39,20,Other,2.12,25.39,Twitter,Low,5.8,Passive,Smartphone,Mixed,25,356,4,14,Negative,North America,9,2129,1789,Afternoon,WiFi,42.33,9.7
40,35,Other,2.99,64.18,Facebook,High,3.8,Active,Smartphone,Text,19,117,49,137,Negative,South America,1,4974,295,Morning,WiFi,41.38,5.1
41,14,Female,6.91,22.59,Twitter,High,5.9,Passive,Tablet,Video,14,301,7,113,Negative,Europe,1,1304,630,Morning,Broadband,12.52,3.6
42,13,Female,4.98,42.04,TikTok,Low,8.0,Passive,PC,Mixed,24,441,1,134,Positive,Europe,3,8782,639,Evening,Broadband,63.39,6.5
43,30,Female,6.93,53.75,Facebook,Medium,5.8,Active,Smartphone,Mixed,27,329,69,82,Neutral,Europe,4,9162,1288,Afternoon,WiFi,22.59,9.4
44,21,Female,8.03,61.38,Instagram,High,8.4,Active,PC,Mixed,3,159,27,138,Positive,Africa,12,2215,1677,Night,WiFi,59.86,4.1
45,37,Female,6.5,67.66,Snapchat,Medium,6.7,Passive,Tablet,Mixed,3,266,15,125,Negative,Europe,10,7281,842,Morning,Broadband,14.83,5.2
46,26,Female,7.28,20.5,Twitter,Medium,2.6,Active,Tablet,Text,10,283,97,81,Negative,Asia,11,9654,243,Evening,Mobile Data,5.02,8.2
47,64,Female,9.5,7.05,Instagram,Low,9.0,Active,Smartphone,Image,6,447,71,102,Positive,Asia,10,16,1579,Evening,Mobile Data,79.54,6.8
48,60,Male,6.07,12.49,Twitter,Medium,1.8,Passive,Smartphone,Text,8,458,86,33,Positive,North America,7,1240,1243,Afternoon,Broadband,13.37,5.6
49,55,Female,4.68,11.74,Instagram,High,2.1,Passive,Tablet,Video,28,182,19,135,Neutral,Asia,9,1695,1081,Morning,WiFi,82.61,7.9
50,21,Male,2.49,50.13,Facebook,Low,4.1,Active,Smartphone,Video,8,238,0,177,Positive,Africa,13,2665,1391,Morning,Broadband,80.37,9.3
51,43,Female,9.04,7.66,TikTok,High,7.0,Active,PC,Image,23,269,53,98,Neutral,Africa,2,4495,941,Afternoon,Mobile Data,86.17,6.9
52,20,Other,7.28,38.86,TikTok,Low,8.5,Active,Smartphone,Image,12,242,21,0,Positive,South America,4,6457,1409,Morning,WiFi,25.19,5.5
53,16,Female,6.01,58.87,Snapchat,Medium,5.9,Active,PC,Mixed,3,207,47,102,Neutral,North America,6,1447,1644,Night,WiFi,61.1,9.0
54,19,Other,8.99,9.53,Facebook,Low,7.5,Active,Smartphone,Video,25,58,44,77,Negative,Europe,8,2448,1861,Morning,WiFi,60.03,4.4
55,34,Female,4.49,19.15,Twitter,Low,6.6,Passive,Smartphone,Mixed,12,329,76,190,Neutral,Europe,1,7541,1157,Morning,Mobile Data,80.4,5.8
56,62,Other,9.2,16.53,Twitter,Medium,1.3,Passive,Smartphone,Mixed,18,372,80,160,Negative,Asia,2,3162,896,Afternoon,Mobile Data,46.25,3.3
57,16,Male,5.26,45.21,Facebook,Medium,2.4,Active,PC,Mixed,27,239,41,199,Negative,Europe,7,3207,1314,Morning,Broadband,69.55,7.1
58,17,Other,0.64,4.88,TikTok,Medium,6.1,Passive,PC,Video,11,307,67,92,Negative,Europe,12,3449,982,Morning,Mobile Data,36.56,6.3
59,37,Male,9.48,55.04,Facebook,Medium,1.3,Active,Smartphone,Image,12,97,35,78,Neutral,Europe,4,8598,1499,Morning,Mobile Data,28.98,4.2
60,62,Female,6.89,33.28,TikTok,Low,4.6,Active,PC,Text,3,350,28,133,Positive,Asia,4,2107,862,Evening,Mobile Data,88.55,7.1
61,56,Male,4.02,45.29,Snapchat,Medium,5.2,Passive,Tablet,Video,13,54,97,50,Positive,Europe,7,7322,892,Afternoon,Mobile Data,35.72,5.4
62,25,Other,1.29,54.39,Snapchat,High,3.6,Passive,Smartphone,Image,25,28,70,45,Positive,Africa,4,8456,350,Evening,Broadband,96.96,4.7
63,39,Male,1.66,16.48,Facebook,Medium,2.4,Passive,Smartphone,Text,2,486,89,4,Neutral,Africa,1,3954,1600,Afternoon,Broadband,28.95,3.1
64,29,Other,8.55,51.38,TikTok,High,3.7,Active,Smartphone,Text,15,256,35,76,Negative,Asia,14,8316,852,Night,Broadband,42.8,4.0
65,58,Female,7.41,11.73,Instagram,Medium,9.9,Active,Tablet,Mixed,24,322,13,33,Neutral,South America,8,5264,1128,Morning,Mobile Data,54.22,6.3
66,64,Female,5.36,53.63,TikTok,Medium,4.5,Active,Smartphone,Mixed,18,168,16,58,Positive,Africa,4,4174,699,Night,Broadband,58.76,6.8
67,54,Male,8.32,35.44,Facebook,Medium,3.9,Passive,PC,Image,19,234,56,121,Negative,Asia,6,5650,400,Night,WiFi,86.53,6.2
68,31,Other,6.84,6.75,Instagram,Medium,5.5,Active,Tablet,Video,18,76,69,94,Positive,Asia,6,4530,398,Evening,Mobile Data,73.12,6.7
69,28,Female,8.94,25.34,Twitter,High,1.3,Active,PC,Text,0,110,60,15,Negative,Africa,11,5898,1836,Evening,WiFi,19.1,7.5
70,13,Other,6.43,22.76,Twitter,Low,1.3,Passive,Tablet,Image,23,440,77,16,Negative,Asia,10,3574,1338,Evening,Broadband,27.82,5.3
71,17,Other,3.71,40.41,TikTok,High,3.7,Passive,PC,Video,22,236,13,184,Neutral,North America,9,565,596,Evening,Mobile Data,74.0,6.9
72,38,Other,2.27,53.48,TikTok,Medium,2.1,Passive,Tablet,Mixed,16,427,34,149,Positive,Africa,4,8075,705,Night,WiFi,21.14,4.5
73,60,Male,9.63,59.28,Snapchat,High,3.7,Passive,PC,Image,24,17,13,96,Neutral,Europe,3,5026,1933,Afternoon,WiFi,94.96,9.7
74,47,Other,3.68,48.51,TikTok,High,9.9,Passive,PC,Text,18,219,12,53,Positive,North America,9,9592,984,Night,Mobile Data,70.53,5.9
75,36,Other,4.94,61.88,Instagram,Medium,4.2,Passive,Smartphone,Text,29,272,3,43,Positive,Asia,1,7505,1689,Afternoon,Mobile Data,7.84,8.2
76,20,Female,8.37,38.27,TikTok,Medium,6.5,Passive,PC,Video,22,198,78,165,Neutral,South America,10,9719,1989,Evening,Broadband,6.97,5.2
77,39,Female,9.29,16.62,Twitter,High,3.4,Active,Tablet,Text,14,483,13,38,Positive,Asia,4,9671,88,Afternoon,WiFi,32.4,8.1
78,38,Male,8.27,51.52,TikTok,Low,6.9,Active,Tablet,Video,27,201,27,93,Negative,Asia,2,3182,1119,Morning,WiFi,28.63,4.4
79,53,Male,5.09,65.34,Instagram,High,8.8,Active,PC,Text,11,95,84,38,Positive,Europe,7,9100,408,Morning,WiFi,92.55,8.1
80,35,Other,3.48,56.15,Twitter,Medium,5.7,Active,Smartphone,Mixed,16,425,8,78,Neutral,South America,4,9500,612,Night,Broadband,79.93,8.7
81,22,Male,6.6,4.7,Facebook,Low,5.4,Passive,PC,Mixed,14,477,0,126,Neutral,Asia,10,9515,1683,Night,WiFi,15.45,3.9
82,16,Other,8.62,36.15,Facebook,Medium,8.5,Active,Tablet,Video,3,66,37,125,Negative,Asia,6,8428,1487,Morning,Broadband,92.43,3.4
83,52,Female,6.02,34.09,TikTok,Medium,5.5,Passive,Tablet,Text,0,272,2,30,Neutral,South America,7,2021,1022,Afternoon,WiFi,99.41,8.7
84,36,Female,7.03,68.08,TikTok,Low,5.1,Passive,Smartphone,Video,4,338,84,26,Positive,South America,1,4803,431,Night,Broadband,25.48,7.6
85,49,Female,8.82,19.16,TikTok,Medium,1.9,Passive,Tablet,Text,27,482,29,97,Neutral,North America,9,2239,1885,Evening,Broadband,43.64,10.0
86,40,Female,8.73,62.44,Twitter,Low,3.9,Active,PC,Video,28,476,29,21,Neutral,Asia,14,9050,1688,Morning,WiFi,15.65,3.7
87,50,Other,1.61,28.94,Facebook,High,8.4,Passive,PC,Video,12,63,27,7,Neutral,South America,10,4804,1420,Morning,WiFi,76.68,3.3
88,32,Other,5.94,57.88,Facebook,Medium,4.4,Active,Smartphone,Text,16,451,26,195,Negative,Africa,8,9428,1220,Morning,Broadband,64.89,4.5
89,51,Female,3.71,59.75,Snapchat,Medium,6.2,Passive,Tablet,Mixed,23,304,92,182,Neutral,Asia,6,3948,613,Night,Mobile Data,41.3,4.4
90,21,Male,7.98,67.93,Facebook,Medium,3.9,Active,Smartphone,Text,12,176,26,176,Negative,Europe,5,1870,1765,Morning,Broadband,6.65,6.8
91,45,Other,5.17,38.4,TikTok,Low,5.7,Active,PC,Mixed,13,18,46,185,Neutral,Africa,7,9661,827,Morning,Broadband,81.38,7.3
92,47,Male,8.18,9.9,TikTok,High,5.8,Passive,PC,Text,21,467,98,47,Neutral,Europe,7,2295,1985,Morning,Mobile Data,84.86,4.3
93,23,Other,5.98,47.23,Snapchat,Medium,6.9,Passive,PC,Image,26,43,48,66,Positive,South America,10,5391,1940,Evening,WiFi,96.65,9.3
94,36,Female,2.69,30.56,TikTok,Medium,2.4,Passive,Tablet,Text,1,128,18,142,Positive,South America,10,4362,1987,Evening,Broadband,99.63,4.9
95,28,Female,6.93,5.95,Instagram,High,2.3,Passive,Smartphone,Mixed,2,445,65,69,Positive,Asia,4,5550,579,Evening,Mobile Data,31.01,8.2
96,60,Female,5.47,42.92,Snapchat,High,2.9,Active,Smartphone,Video,14,272,29,26,Neutral,North America,3,7198,475,Evening,WiFi,66.31,6.3
97,36,Female,7.96,9.69,Instagram,Medium,6.7,Passive,Smartphone,Text,19,414,86,74,Positive,Asia,4,6642,1935,Afternoon,WiFi,99.87,3.8
98,38,Other,5.74,24.32,Snapchat,Medium,4.1,Passive,PC,Video,25,176,42,193,Neutral,Europe,2,713,1040,Night,WiFi,58.72,9.0
99,20,Female,3.26,18.81,Twitter,Low,1.4,Passive,Smartphone,Video,0,444,28,29,Negative,Europe,2,258,1762,Morning,Broadband,12.04,8.8
100,64,Male,8.48,35.42,TikTok,Medium,8.5,Active,PC,Image,29,305,46,1,Positive,Asia,2,1323,1781,Morning,WiFi,7.01,6.7
101,41,Male,3.59,13.48,Twitter,Low,7.6,Passive,Smartphone,Mixed,22,147,74,104,Neutral,South America,6,7394,1525,Afternoon,Mobile Data,37.34,3.5
102,23,Female,3.77,66.24,Facebook,High,5.1,Active,Smartphone,Image,27,329,85,80,Positive,Africa,11,9851,1287,Morning,WiFi,60.91,6.6
103,59,Other,9.02,37.37,TikTok,High,3.7,Active,PC,Text,20,138,99,31,Neutral,Europe,1,9362,314,Morning,Broadband,86.24,8.2
104,45,Female,6.73,49.9,Snapchat,High,9.4,Passive,Smartphone,Text,12,176,65,62,Positive,North America,2,4732,438,Afternoon,Broadband,51.65,8.2
105,37,Other,9.4,22.25,TikTok,Low,3.4,Active,Smartphone,Video,12,391,70,63,Neutral,North America,1,3145,612,Evening,Broadband,51.68,10.0
106,36,Other,6.37,66.01,Snapchat,High,3.8,Passive,PC,Image,17,60,97,155,Negative,South America,13,2853,273,Morning,WiFi,83.27,3.7
107,14,Male,7.64,23.85,Instagram,Medium,3.2,Passive,Tablet,Mixed,15,226,46,51,Positive,North America,4,2997,721,Evening,Broadband,92.28,6.0
108,62,Male,2.89,24.16,TikTok,High,1.1,Passive,Tablet,Mixed,29,347,16,147,Neutral,Europe,14,3644,516,Afternoon,Broadband,97.9,3.9
109,26,Male,2.68,24.45,Twitter,High,4.1,Active,Tablet,Video,20,140,98,15,Negative,North America,7,2257,623,Evening,Mobile Data,54.91,7.7
110,16,Male,7.54,15.86,Twitter,Low,3.1,Active,Smartphone,Image,22,311,93,61,Negative,Africa,7,7378,1625,Morning,Mobile Data,34.28,6.1
111,13,Male,9.51,29.24,Twitter,High,3.8,Active,PC,Video,4,454,93,119,Positive,Africa,7,1115,228,Morning,Broadband,16.92,3.9
112,26,Female,4.48,38.29,Twitter,High,7.2,Active,Tablet,Image,14,249,53,124,Neutral,South America,1,6641,1210,Afternoon,Broadband,74.58,7.5
113,19,Other,3.93,35.41,Snapchat,Low,3.7,Passive,Smartphone,Text,9,436,91,5,Negative,Europe,6,9346,1324,Night,Mobile Data,49.08,9.0
114,34,Other,3.99,53.74,Instagram,Medium,1.1,Passive,Tablet,Text,14,212,92,173,Neutral,Africa,5,2271,582,Night,Broadband,41.3,7.5
115,19,Male,7.51,21.38,Facebook,Low,4.6,Passive,Tablet,Text,29,337,32,19,Positive,Africa,1,3049,604,Morning,Mobile Data,53.52,6.3
116,15,Male,6.94,36.67,TikTok,High,3.5,Passive,PC,Text,12,380,76,113,Negative,North America,7,9654,1252,Night,Mobile Data,91.35,7.9
117,25,Male,5.52,9.93,Twitter,Low,3.2,Passive,Smartphone,Mixed,18,97,35,108,Positive,Asia,6,1630,1693,Afternoon,Mobile Data,67.67,8.0
118,40,Other,3.91,51.55,Snapchat,High,6.9,Passive,Smartphone,Mixed,19,424,14,132,Neutral,Asia,1,9991,1409,Afternoon,WiFi,58.31,7.9
119,34,Female,2.15,50.22,TikTok,High,8.5,Passive,PC,Text,15,443,51,154,Positive,North America,11,3777,745,Afternoon,Mobile Data,24.99,3.5
120,24,Male,4.69,30.07,Facebook,Low,1.4,Passive,Smartphone,Image,19,257,20,42,Positive,Asia,9,1330,900,Afternoon,Mobile Data,16.4,8.3
